source_id,source_type,category,priority,title,description,technical_details,component,is_duplicate,duplicate_of,quality_score,confidence
E009,support_email,Complaint,Medium,User Feedback on Pricing Concerns,"A user has expressed dissatisfaction with the current pricing of TaskFlow Pro at $9.99/month, stating it is significantly higher than competitors like Todoist and TickTick, which offer similar features at lower prices. The user appreciates the app's interface but is considering switching to a more affordable alternative due to cost concerns. This feedback highlights a potential barrier to user retention and suggests the need for a review of pricing tiers.",N/A,Pricing,True,R014,0.8,0.85
E010,support_email,Bug,High,File Attachment Crash on Large Files,"Users are experiencing crashes when attempting to attach files larger than 5MB in the app. This issue significantly impacts user experience, as it prevents the successful upload of larger files, which may be necessary for various tasks. The app freezes and eventually crashes, leading to potential data loss and frustration for users.","Device: Samsung Galaxy S24, OS: Android 14, App Version: 3.2.1. Steps to reproduce: 1) Open the app. 2) Navigate to the file attachment section. 3) Attempt to attach a file larger than 5MB.",Attachments,True,R015,0.9,0.95
E011,support_email,Feature Request,High,Feature Request: Slack Integration for Task Management,"User feedback indicates a strong need for a Slack integration that allows task notifications to be sent to Slack channels, enables task creation from Slack messages, and allows updates to task status directly from Slack. This feature would significantly enhance productivity for teams, particularly for the user's team of 15, by streamlining task management and improving collaboration.",N/A,Task Management,True,R016,0.9,0.95
E012,support_email,Bug,Critical,Search Function Returns Incorrect Results,"The search function in TaskFlow Pro is malfunctioning, returning irrelevant tasks when specific keywords are searched. For example, searching for 'budget' yields results related to 'meetings' and 'team lunch', while 'Q1 report' brings up outdated tasks from months ago. This issue severely hampers users' ability to locate specific tasks efficiently.","Device: iPhone 14, OS: iOS 17.3, App Version: 3.2.0, Steps to reproduce: N/A",Search,True,R018,0.9,0.95
E013,support_email,Complaint,Medium,Accessibility Issues with VoiceOver in TaskFlow Pro,"A visually impaired user has reported multiple accessibility issues when using TaskFlow Pro with VoiceOver. The issues include: 1) The 'Add Task' button is not labelled, causing VoiceOver to read it as 'button' only. 2) Priority dropdown selections are not announced by VoiceOver. 3) The task completion toggle lacks an accessible name. 4) Some screens do not have a proper heading structure. These issues significantly hinder the usability of the app for users relying on assistive technology.",N/A,Accessibility features,True,R030,0.9,0.95
E015,support_email,Bug,Low,Incorrect Notification Badge Count on App Icon,"The notification badge on the app icon displays an incorrect count of unread notifications. Users report seeing a count of 5 unread notifications, but upon opening the app, they find only 1 or none. This issue has persisted for approximately 2 weeks, leading to confusion among users regarding their actual notifications.","Device: Google Pixel 8, OS: Android 14, App Version: 3.2.1, Steps to reproduce: N/A",Notifications,True,R027,0.8,0.95
E016,support_email,Bug,Critical,App Crashes on Startup After Update to v3.2.1,"The application crashes immediately upon startup after the user updated to version 3.2.1. The user experiences a brief display of the splash screen before the app closes. They have attempted multiple reinstalls, cleared data, and restarted their device without success. This issue is critical as it prevents the user from accessing the app entirely.","Device: OnePlus 12, OS: Android 14, App Version: 3.2.1, Steps to reproduce: N/A",Startup,True,R025,0.9,0.95
E017,support_email,Feature Request,High,Request for PDF Export Feature for Task Lists and Project Summaries,"User requests the ability to export task lists and project summaries as PDF documents. This feature is essential for generating weekly progress reports required by management. Currently, the user manually copies information into Word, which is time-consuming. A built-in PDF export with options to include/exclude completed tasks, date ranges, and project filters would significantly reduce the time spent on report generation, saving at least 30 minutes every Friday.",N/A,Reporting,True,R024,0.9,0.95
E018,support_email,Feature Request,High,Add Subtask Support to TaskFlow Pro,"Users have requested the addition of subtask support within tasks to improve organization and task management. For instance, a task like 'Prepare presentation' could have subtasks such as 'Research topic', 'Create slides', and 'Practice delivery'. This feature would allow users to maintain a hierarchical relationship between tasks, enhancing clarity and efficiency. Currently, users are forced to create separate tasks for each subtask, which can lead to disorganization.",N/A,Task Management,True,R019,0.9,0.95
E019,support_email,Complaint,Medium,Customer Service Response Delay for Bug Report #4521,"User reported a bug related to data loss two weeks ago (ticket #4521) and has not received any acknowledgment or response from customer service. This lack of communication is causing frustration and dissatisfaction, leading the user to consider canceling their subscription. Immediate attention is required to address the user's concerns and improve customer service response times.",N/A,Customer Support,True,R020,0.8,0.95
E020,support_email,Feature Request,High,Enhance Sorting and Filtering Options for Tasks,"Users are requesting enhanced sorting and filtering options for tasks within TaskFlow Pro. Currently, the app only allows sorting by date, which limits organization capabilities. Users need the ability to sort by priority and project, filter by assignee and tag, and save custom filter views. Implementing these features will significantly improve task management for teams, allowing for better prioritization and assignment tracking.",N/A,Task Management,True,R029,0.9,0.95
